"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"170","AR(2)",40,20,0.1,1,1,1,0,1
"171","AR(2)",40,30,0.01,0.3562,0.182,0.23,0.1405,0.5094
"172","AR(2)",40,30,0.03,0.9988,0.9864,0.9945,0,0.9998
"173","AR(2)",40,30,0.05,1,1,1,0,1
"174","AR(2)",40,30,0.07,1,1,1,0,1
"175","AR(2)",40,30,0.1,1,1,1,0,1
"176","AR(2)",40,50,0.01,0.7689,0.4993,0.5978,0.0349,0.8547
"177","AR(2)",40,50,0.03,1,1,1,0,1
"178","AR(2)",40,50,0.05,1,1,1,0,1
"179","AR(2)",40,50,0.07,1,1,1,0,1
"180","AR(2)",40,50,0.1,1,1,1,0,1
"181","AR(2)",50,10,0.01,0.086,0.0575,0.0671,0.1653,0.235
"182","AR(2)",50,10,0.03,0.4098,0.2765,0.33,0.047,0.6187
"183","AR(2)",50,10,0.05,0.8177,0.6777,0.7419,0.0036,0.918
"184","AR(2)",50,10,0.07,0.9811,0.9476,0.9656,1e-04,0.9962
"185","AR(2)",50,10,0.1,1,0.9995,0.9998,0,1
"186","AR(2)",50,20,0.01,0.2178,0.1155,0.1457,0.1709,0.3805
"187","AR(2)",50,20,0.03,0.9474,0.8499,0.9009,0.001,0.9783
"188","AR(2)",50,20,0.05,1,0.9996,0.9999,0,1
"189","AR(2)",50,20,0.07,1,1,1,0,1
"190","AR(2)",50,20,0.1,1,1,1,0,1
"191","AR(2)",50,30,0.01,0.4293,0.2365,0.2892,0.1049,0.5851
"192","AR(2)",50,30,0.03,0.9996,0.9977,0.9995,0,0.9998
"193","AR(2)",50,30,0.05,1,1,1,0,1
"194","AR(2)",50,30,0.07,1,1,1,0,1
"195","AR(2)",50,30,0.1,1,1,1,0,1
"196","AR(2)",50,50,0.01,0.8611,0.6296,0.7244,0.0155,0.9194
"197","AR(2)",50,50,0.03,1,1,1,0,1
"198","AR(2)",50,50,0.05,1,1,1,0,1
"199","AR(2)",50,50,0.07,1,1,1,0,1
"200","AR(2)",50,50,0.1,1,1,1,0,1
"201","Toeplitz",10,10,0.01,0.0572,0.0458,0.0574,0.1967,0.1925
