"","covariance_structures","variances","sample_sizes","power_global","power_max"
"327","AR(1)",8,5,"0.09","0.092"
"328","AR(1)",8,6,"0.097","0.086"
"329","AR(1)",8,7,"0.113","0.099"
"330","AR(1)",8,8,"0.135","0.117"
"331","AR(1)",8,9,"0.131","0.132"
"332","AR(1)",8,10,"0.147","0.148"
"333","AR(1)",8,11,"0.169","0.166"
"334","AR(1)",8,21,"0.346","0.504"
"335","AR(1)",8,31,"0.535","0.759"
"336","AR(1)",8,41,"0.713","0.904"
"337","AR(1)",8,51,"0.847","0.975"
"338","AR(1)",8,61,"0.93","0.991"
"339","AR(1)",8,71,"0.972","0.997"
"340","AR(1)",8,81,"0.993","1"
"341","AR(1)",8,91,"0.998","1"
"342","AR(1)",9,3,"0","0.649"
"343","AR(1)",9,4,"0.071","0.071"
"344","AR(1)",9,5,"0.082","0.068"
"345","AR(1)",9,6,"0.104","0.089"
"346","AR(1)",9,7,"0.106","0.082"
"347","AR(1)",9,8,"0.13","0.112"
"348","AR(1)",9,9,"0.129","0.117"
"349","AR(1)",9,10,"0.141","0.148"
"350","AR(1)",9,11,"0.15","0.152"
"351","AR(1)",9,21,"0.274","0.403"
"352","AR(1)",9,31,"0.468","0.71"
"353","AR(1)",9,41,"0.623","0.841"
"354","AR(1)",9,51,"0.774","0.947"
"355","AR(1)",9,61,"0.898","0.985"
"356","AR(1)",9,71,"0.948","0.999"
"357","AR(1)",9,81,"0.975","0.998"
"358","AR(1)",9,91,"0.991","1"
"359","AR(1)",10,3,"0","0.638"
"360","AR(1)",10,4,"0.063","0.068"
"361","AR(1)",10,5,"0.069","0.07"
"362","AR(1)",10,6,"0.094","0.086"
"363","AR(1)",10,7,"0.099","0.077"
"364","AR(1)",10,8,"0.1","0.092"
"365","AR(1)",10,9,"0.112","0.103"
"366","AR(1)",10,10,"0.131","0.112"
"367","AR(1)",10,11,"0.138","0.135"
"368","AR(1)",10,21,"0.252","0.386"
"369","AR(1)",10,31,"0.426","0.632"
"370","AR(1)",10,41,"0.587","0.818"
"371","AR(1)",10,51,"0.733","0.921"
"372","AR(1)",10,61,"0.84","0.969"
"373","AR(1)",10,71,"0.924","0.988"
"374","AR(1)",10,81,"0.943","0.997"
"375","AR(1)",10,91,"0.984","1"
"376","AR(2)",0,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"377","AR(2)",0,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"378","AR(2)",0,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"379","AR(2)",0,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"380","AR(2)",0,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"381","AR(2)",0,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"382","AR(2)",0,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"383","AR(2)",0,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"384","AR(2)",0,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"385","AR(2)",0,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
