"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"479","AR(2)",0.6,4,"0.146","0.107"
"480","AR(2)",0.6,5,"0.196","0.156"
"481","AR(2)",0.6,6,"0.258","0.242"
"482","AR(2)",0.6,7,"0.302","0.301"
"483","AR(2)",0.6,8,"0.369","0.43"
"484","AR(2)",0.6,9,"0.403","0.534"
"485","AR(2)",0.6,10,"0.425","0.633"
"486","AR(2)",0.6,11,"0.482","0.711"
"487","AR(2)",0.6,21,"0.93","0.995"
"488","AR(2)",0.6,31,"0.998","1"
"489","AR(2)",0.6,41,"1","1"
"490","AR(2)",0.6,51,"1","1"
"491","AR(2)",0.6,61,"1","1"
"492","AR(2)",0.6,71,"1","1"
"493","AR(2)",0.6,81,"1","1"
"494","AR(2)",0.6,91,"1","1"
"495","AR(2)",0.7,3,"0","0.699"
"496","AR(2)",0.7,4,"0.183","0.127"
"497","AR(2)",0.7,5,"0.284","0.215"
"498","AR(2)",0.7,6,"0.379","0.344"
"499","AR(2)",0.7,7,"0.448","0.469"
"500","AR(2)",0.7,8,"0.478","0.561"
"501","AR(2)",0.7,9,"0.551","0.677"
"502","AR(2)",0.7,10,"0.666","0.828"
"503","AR(2)",0.7,11,"0.725","0.862"
"504","AR(2)",0.7,21,"0.995","0.999"
"505","AR(2)",0.7,31,"1","1"
"506","AR(2)",0.7,41,"1","1"
"507","AR(2)",0.7,51,"1","1"
"508","AR(2)",0.7,61,"1","1"
"509","AR(2)",0.7,71,"1","1"
"510","AR(2)",0.7,81,"1","1"
"511","AR(2)",0.7,91,"1","1"
"512","AR(2)",0.8,3,"0","0.706"
"513","AR(2)",0.8,4,"0.31","0.174"
"514","AR(2)",0.8,5,"0.431","0.284"
"515","AR(2)",0.8,6,"0.581","0.493"
"516","AR(2)",0.8,7,"0.668","0.665"
"517","AR(2)",0.8,8,"0.761","0.811"
"518","AR(2)",0.8,9,"0.835","0.902"
"519","AR(2)",0.8,10,"0.869","0.955"
"520","AR(2)",0.8,11,"0.933","0.982"
"521","AR(2)",0.8,21,"1","1"
"522","AR(2)",0.8,31,"1","1"
"523","AR(2)",0.8,41,"1","1"
"524","AR(2)",0.8,51,"1","1"
"525","AR(2)",0.8,61,"1","1"
"526","AR(2)",0.8,71,"1","1"
"527","AR(2)",0.8,81,"1","1"
"528","AR(2)",0.8,91,"1","1"
"529","AR(2)",0.9,3,"0","0.856"
"530","AR(2)",0.9,4,"0.568","0.263"
"531","AR(2)",0.9,5,"0.791","0.591"
"532","AR(2)",0.9,6,"0.898","0.807"
"533","AR(2)",0.9,7,"0.957","0.942"
